strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price,low,high,target_reached,pnl,eod_capital
Strat_1,XLU,SELL,77.98,7038.65,0.015,105.58,1,78.1,77.55,0.007,78.85,78.08,79.17,False,-0.75,7037.9
Strat_1,USO,SELL,74.77,5798.1,4.0,23192.4,310,75.52,73.4,0.028095,77.33,75.28,77.72,False,-561.1,5237.0
Strat_1,XLI,SELL,130.15,10026.37,2.03,20353.53,156,129.14,128.37,0.005969,131.07,128.42,131.85,False,-301.08,9725.29
Strat_1,AMLP,SELL,52.07,4807.27,1.03,4951.49,95,52.03,51.64,0.00749,51.94,51.66,52.18,False,8.55,4815.82
Strat_1,SPY,SELL,555.66,29875.8,4.0,119503.2,215,549.83,547.65,0.003956,559.39,546.87,560.71,True,472.75,30348.55
Strat_2,SPY,BUY,555.66,94254.81,0.66,62208.17,111,549.83,at_close,0.38,559.39,546.87,560.7112,nan,1061.159999999994,95315.96999999999
