strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price,low,high,target_reached,pnl,eod_capital
Strat_1,AMLP,SELL,48.24,5529.5,2.45,13547.28,280,48.27,47.91,0.00749,47.93,47.83,48.69,True,101.47,5630.97
Strat_1,IVE,SELL,183.43,3871.59,4.0,15486.36,84,184.33,183.45,0.004774,183.94,183.5,185.41,False,32.76,3904.35
Strat_1,IVW,HOLD,94.65,4117.65,1.415,5826.47,61,96.3,95.97,0.003428,95.78,95.69,96.96,True,0.0,4117.65
Strat_1,IWM,HOLD,194.86,6157.18,4.0,24628.72,126,195.71,195.2,0.002614,196.07,193.74,197.67,True,0.0,6157.18
Strat_1,SPY,HOLD,554.54,3303.4,4.0,13213.6,23,560.37,559.46,0.001622,558.47,557.86,564.07,True,0.0,3303.4
Strat_1,USO,SELL,63.56,4510.39,4.0,18041.56,283,63.59,61.8,0.028095,64.52,63.1,65.08,False,-263.19,4247.2
Strat_1,XLF,SELL,48.76,4154.51,4.0,16618.04,340,48.58,48.26,0.00662,48.75,48.44,49.07,False,-57.8,4096.71
Strat_1,XLI,SELL,131.22,4419.55,2.895,12794.6,97,131.78,130.99,0.005969,132.21,131.25,133.16,False,-41.71,4377.84
Strat_1,XLU,SELL,78.9,6736.44,2.735,18424.16,233,79.39,78.83,0.007,79.13,78.87,80.13,False,60.58,6797.02
Strat_1,XLV,HOLD,140.47,5609.51,1.18,6619.22,47,138.81,138.59,0.001589,136.64,136.47,139.11,True,0.0,5609.51
Strat_2,SPY,BUY,554.54,101542.39,1.08,109665.78,197,560.37,at_close,0.38,558.47,557.86,564.07,nan,-374.2999999999955,101168.09000000001
