strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price,low,high,target_reached,pnl,eod_capital
Strat_1,AMLP,SELL,48.64,5219.06,3.095,16152.99,332,48.5,48.14,0.00749,47.63,47.14,48.56,True,120.99,5340.05
Strat_1,IVE,SELL,177.38,4000.23,4.0,16000.92,90,175.85,175.01,0.004774,173.78,172.13,176.01,True,76.39,4076.62
Strat_1,IVW,SELL,88.46,4046.78,1.85,7486.54,84,87.29,86.04,0.014334,85.89,84.89,87.37,True,107.31,4154.09
Strat_1,IWM,HOLD,186.48,6157.18,4.0,24628.72,132,185.0,184.52,0.002614,182.74,180.77,185.29,True,0.0,6157.18
Strat_1,SPY,SELL,526.41,3383.26,4.0,13533.04,25,521.16,519.1,0.003956,513.88,508.46,521.7,True,53.54,3436.8
Strat_1,USO,HOLD,69.48,4079.8,4.0,16319.2,234,68.27,67.89,0.005506,68.62,67.44,68.66,True,0.0,4079.8
Strat_1,XLF,SELL,46.65,4313.14,4.0,17252.56,369,46.41,46.1,0.00662,45.65,45.14,46.55,True,114.21,4427.35
Strat_1,XLI,SELL,125.3,4304.48,3.745,16120.28,128,124.09,123.35,0.005969,122.49,121.14,124.35,True,96.22,4400.7
Strat_1,XLU,SELL,77.77,6386.83,2.14,13667.82,175,77.42,75.95,0.019,75.93,75.03,77.51,True,259.69,6646.52
Strat_1,XLV,SELL,135.49,5581.37,1.52,8483.68,62,135.19,134.32,0.006455,132.57,131.56,135.36,True,54.76,5636.13
Strat_2,SPY,BUY,526.41,98856.55,0.555,54865.39,104,521.16,at_close,0.38,513.88,508.46,521.7,nan,-757.1199999999972,98099.43000000001
