strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price,low,high,target_reached,pnl,eod_capital
Strat_1,AMLP,SELL,50.62,5877.78,3.29,19337.9,382,49.16,48.79,0.00749,47.02,46.73,49.57,True,144.84,6022.62
Strat_1,IVE,SELL,183.31,5720.22,4.0,22880.88,124,179.44,178.58,0.004774,172.67,172.56,179.86,True,109.23,5829.45
Strat_1,IVW,SELL,89.13,5405.79,1.89,10216.94,114,86.4,85.16,0.014334,83.65,83.62,86.87,True,146.45,5552.24
Strat_1,IWM,HOLD,189.65,5964.06,4.0,23856.24,125,182.61,182.13,0.002614,181.19,176.67,184.05,True,0.0,5964.06
Strat_1,SPY,SELL,536.7,5480.15,4.0,21920.6,40,523.67,521.6,0.003956,505.28,505.06,525.87,True,86.72,5566.87
Strat_1,USO,HOLD,72.25,5931.96,4.0,23727.84,328,66.9,66.53,0.005506,67.92,65.5,68.42,True,0.0,5931.96
Strat_1,XLF,SELL,47.69,5691.23,4.0,22764.92,477,46.07,45.77,0.00662,44.2,44.09,46.41,True,150.7,5841.93
Strat_1,XLI,SELL,125.85,5440.75,2.545,13846.71,110,122.25,121.52,0.005969,117.94,117.79,122.68,True,82.65,5523.4
Strat_1,XLU,SELL,78.92,5801.55,2.32,13459.6,170,79.29,78.73,0.007,74.53,74.04,79.29,True,94.22,5895.77
Strat_1,XLV,SELL,143.13,5797.25,1.29,7478.45,52,141.14,140.23,0.006455,135.28,135.23,141.71,True,48.27,5845.52
Strat_2,SPY,BUY,536.7,95550.38,0.35,33442.63,62,523.67,at_close,0.38,505.28,505.06,525.87,nan,-1140.1799999999992,94410.20000000001
