strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price,low,high,target_reached,pnl,eod_capital
Strat_1,AMLP,SELL,45.07,6273.07,2.935,18411.46,408,44.55,43.25,0.029266,47.17,43.75,47.56,False,-1068.96,5204.11
Strat_1,IVE,SELL,168.34,6054.21,4.0,24216.84,143,166.55,165.75,0.004774,180.92,166.42,181.64,False,-2054.91,3999.3
Strat_1,IVW,SELL,82.96,5217.36,2.075,10826.02,130,82.85,81.66,0.014334,92.32,82.66,92.79,False,-1231.1,3986.26
Strat_1,IWM,HOLD,174.82,6157.18,4.0,24628.72,140,172.72,172.27,0.002614,189.68,171.74,192.09,True,0.0,6157.18
Strat_1,SPY,SELL,496.48,6031.9,4.0,24127.6,48,493.44,491.49,0.003956,548.62,493.07,548.62,False,-2648.64,3383.26
Strat_1,USO,SELL,63.34,6466.6,4.0,25866.4,408,61.73,60.0,0.028095,67.58,60.67,68.03,False,-2386.8,4079.8
Strat_1,XLF,SELL,43.92,6682.59,4.0,26730.36,608,43.24,42.95,0.00662,47.23,43.07,47.61,False,-2425.92,4256.67
Strat_1,XLI,SELL,116.42,5440.36,2.545,13845.72,118,115.23,113.11,0.018373,126.76,115.27,127.55,False,-1360.54,4079.82
Strat_1,XLU,SELL,73.09,6255.63,2.2,13762.39,188,72.46,71.08,0.019,75.97,71.02,76.17,True,261.49,6517.12
Strat_1,XLV,SELL,132.98,6014.93,1.22,7338.21,55,130.13,129.29,0.006455,138.76,129.69,139.24,False,-474.65,5540.28
Strat_2,SPY,BUY,496.48,95390.65,0.47,44833.61,90,493.44,at_close,0.38,548.62,493.07,548.62,nan,4966.200000000001,100356.84999999999
