strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price,low,high,target_reached,pnl,eod_capital
Strat_1,XLU,SELL,77.43,7038.8,0.02,140.78,1,77.36,75.89,0.019,77.41,77.18,78.05,False,-0.05,7038.75
Strat_1,USO,SELL,75.42,5866.52,4.0,23466.08,311,75.26,73.15,0.028095,75.48,74.78,75.68,False,-68.42,5798.1
Strat_1,XLI,SELL,133.6,9820.43,1.66,16301.91,122,133.56,132.76,0.005969,132.89,132.27,134.01,True,97.31,9917.74
Strat_1,AMLP,SELL,52.21,4748.91,1.415,6719.71,128,52.12,51.73,0.00749,52.04,51.83,52.28,False,10.24,4759.15
Strat_1,SPY,HOLD,568.59,29410.41,4.0,117641.64,206,567.18,566.26,0.001622,567.08,564.94,570.9,True,0.0,29410.41
Strat_2,SPY,BUY,568.59,94941.34,0.33,31330.64,55,567.18,at_close,0.38,567.08,564.94,570.9,nan,-5.499999999994998,94935.84
