strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price,low,high,target_reached,pnl,eod_capital
Strat_1,AMLP,SELL,48.62,5193.8,2.925,15191.86,312,49.34,48.97,0.00749,48.77,48.5,49.46,True,113.79,5307.59
Strat_1,IVE,SELL,177.98,3855.28,4.0,15421.12,86,180.79,179.93,0.004774,179.47,178.91,182.64,True,73.62,3928.9
Strat_1,IVW,SELL,88.25,4043.73,1.85,7480.9,84,91.27,89.96,0.014334,90.39,90.05,92.17,False,73.92,4117.65
Strat_1,IWM,HOLD,187.47,6157.18,4.0,24628.72,131,192.92,192.42,0.002614,190.25,189.84,195.51,True,0.0,6157.18
Strat_1,SPY,SELL,527.25,3251.94,4.0,13007.76,24,540.43,538.29,0.003956,535.42,533.88,545.43,True,51.46,3303.4
Strat_1,USO,SELL,69.37,4079.8,4.0,16319.2,235,68.99,67.05,0.028095,68.05,67.19,69.81,False,220.9,4300.7
Strat_1,XLF,SELL,47.16,4110.01,4.0,16440.04,348,48.04,47.72,0.00662,47.72,47.56,48.73,True,108.83,4218.84
Strat_1,XLI,SELL,124.63,4246.8,3.465,14715.16,118,128.03,125.68,0.018373,126.19,125.82,129.13,False,217.12,4463.92
Strat_1,XLU,SELL,78.0,6646.52,2.63,17480.35,224,78.77,77.27,0.019,78.33,77.62,79.21,False,98.56,6745.08
Strat_1,XLV,SELL,135.06,5550.93,1.635,9075.77,67,136.54,135.66,0.006455,135.73,135.13,137.93,True,58.58,5609.51
Strat_2,SPY,BUY,527.25,98831.76,0.68,67205.6,127,540.43,at_close,0.38,535.42,533.88,545.43,nan,-636.2699999999988,98195.48999999999
