strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price,low,high,target_reached,pnl,eod_capital
Strat_1,AMLP,HOLD,48.2,5219.06,3.285,17144.61,355,48.41,48.26,0.003082,48.64,48.4,49.27,False,0.0,5219.06
Strat_1,IVE,SELL,177.04,4075.67,4.0,16302.68,92,176.56,175.72,0.004774,177.38,176.56,178.73,False,-75.44,4000.23
Strat_1,IVW,SELL,88.38,3986.26,1.985,7912.73,89,89.14,87.86,0.014334,88.46,87.92,89.22,False,60.52,4046.78
Strat_1,IWM,HOLD,184.97,6157.18,4.0,24628.72,133,184.99,184.51,0.002614,186.48,184.46,187.43,True,0.0,6157.18
Strat_1,SPY,HOLD,525.66,3383.26,4.0,13533.04,25,527.64,526.78,0.001622,526.41,523.91,531.16,True,0.0,3383.26
Strat_1,USO,HOLD,67.75,4079.8,4.0,16319.2,240,68.35,67.97,0.005506,69.48,68.15,70.05,False,0.0,4079.8
Strat_1,XLF,SELL,46.53,4369.39,4.0,17477.56,375,46.5,46.19,0.00662,46.65,46.43,47.21,False,-56.25,4313.14
Strat_1,XLI,SELL,124.62,4381.77,3.745,16409.73,131,124.71,123.97,0.005969,125.3,124.67,126.49,False,-77.29,4304.48
Strat_1,XLU,SELL,76.98,6475.03,2.14,13856.56,180,77.28,76.74,0.007,77.77,77.28,78.75,False,-88.2,6386.83
Strat_1,XLV,SELL,136.29,5591.42,1.635,9141.97,67,135.34,134.47,0.006455,135.49,135.1,136.56,False,-10.05,5581.37
Strat_2,SPY,BUY,525.66,98968.48,0.485,47999.71,91,527.64,at_close,0.38,526.41,523.91,531.16,nan,-111.93000000000166,98856.54999999999
