strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price,low,high,target_reached,pnl,eod_capital
Short_Open,XLU,SELL,74.89,9299.23,0.115,1069.41,14,74.96,74.44,0.007,75.27,74.94,76.07,False,-4.34,9294.89
Short_Open,USO,SELL,72.94,10450.56,1.135,11861.39,162,73.93,71.85,0.028095,72.61,72.61,74.11,False,213.84,10664.4
Short_Open,XLI,SELL,132.44,11155.36,4.0,44621.44,336,133.08,130.63,0.018373,132.27,132.22,134.05,False,272.16,11427.52
Short_Open,AMLP,SELL,47.04,9878.11,2.185,21583.67,458,47.6,47.24,0.00749,47.15,47.0,47.79,True,161.66,10039.77
Short_Open,SPY,SELL,586.28,15208.94,4.0,60835.76,103,591.36,589.02,0.003956,586.1,585.88,593.0,True,240.67,15449.61
