,open_close_green,open_high_green,open_low_green,open_close_red,open_high_red,open_low_red
count,1146.0,1146.0,1146.0,1130.0,1130.0,1130.0
min,-8.369,0.0419,0.0,0.0106,-0.0,0.0722
max,0.0,9.4578,9.8712,7.9464,11.3292,12.1589
mean,-0.9956,1.4737,0.5218,1.0453,0.5021,1.6086
median,-0.6935,1.2156,0.3717,0.7972,0.3557,1.3307
std,0.9521,1.0528,0.6037,0.9614,0.5814,1.1374
skew,-2.1158,2.292,5.1017,1.8975,6.9929,2.3456
kurtosis,7.4919,8.9695,57.2042,5.4959,108.7656,10.8578
