,open_close_green,open_high_green,open_low_green,open_close_red,open_high_red,open_low_red
count,1089.0,1089.0,1089.0,1188.0,1188.0,1188.0
min,-15.027,-0.0,0.0,0.0206,-0.0,0.1516
max,0.0,23.1351,15.0249,11.5432,7.4335,20.6793
mean,-1.0104,1.5456,0.5757,1.0431,0.4753,1.6562
median,-0.672,1.1727,0.3878,0.7386,0.3244,1.2651
std,1.1833,1.5633,0.7869,1.0526,0.5555,1.4432
skew,-3.708,5.1788,7.6885,2.9764,3.8978,4.1444
kurtosis,25.913,47.9448,112.798,16.1973,30.524,34.1546
