,open_close_green,open_high_green,open_low_green,open_close_red,open_high_red,open_low_red
count,1267.0,1267.0,1267.0,1010.0,1010.0,1010.0
min,0.0,-0.0,0.0262,-14.9542,0.0596,0.0
max,11.563,7.5166,20.6961,-0.0268,23.0926,15.0235
mean,0.9995,0.4947,1.622,-1.115,1.658,0.5898
median,0.6936,0.3538,1.2442,-0.7656,1.2686,0.3903
std,1.0688,0.5511,1.4407,1.2391,1.6249,0.8854
skew,2.9007,3.7915,4.0232,-3.5668,4.9263,8.0599
kurtosis,15.187,30.1506,32.7877,22.9065,43.037,105.0794
