,open_low_2,open_close_2,Gap_2,open_low_1,open_close_1,gap_1,open_low_0,open_close_0,Gap_0
count,830.0,830.0,830.0,3663.0,3663.0,3663.0,6.0,6.0,6.0
min,0.0506,-1.2483,-3.4375,0.0,-3.2503,-2.8618,3.9596,2.0187,1.0951
max,4.4845,3.7054,4.0429,1.2205,0.6516,1.5569,8.8423,8.2954,9.1
mean,0.666,0.4465,0.2231,0.1512,-0.0873,-0.0267,6.1298,4.4475,5.2542
median,0.5434,0.3711,0.1603,0.1312,-0.0469,0.0,5.7566,4.2268,5.5401
std,0.4724,0.3566,0.5339,0.1266,0.2569,0.3631,2.0972,2.2149,2.6697
skew,3.6338,2.7186,0.8444,1.1826,-1.9121,-0.5882,0.297,0.7675,-0.1865
kurtosis,19.3002,16.6859,8.1495,2.6514,10.4024,3.5579,-1.4765,-0.3871,-0.5262
