,open_low_0,open_close_0,gap_0,open_low_1,open_close_1,gap_1,open_low_2,open_close_2,gap_2
count,325.0,325.0,325.0,1055.0,1055.0,1055.0,1136.0,1136.0,1136.0
min,1.4098,-0.9801,-9.0797,0.0,-5.7872,-4.7935,0.027,-1.0681,-4.1781
max,7.4044,4.6002,8.1432,5.1621,-0.0234,5.4764,2.9966,1.3865,4.3358
mean,2.4318,1.8156,0.0756,0.3479,-0.9245,0.09,0.8781,0.3652,0.0029
median,2.1962,1.6095,0.12,0.2553,-0.7502,0.0915,0.8421,0.3271,0.0286
std,0.8967,0.7905,1.4449,0.3931,0.6868,0.7765,0.4127,0.4049,0.6307
skew,2.0002,0.7449,-0.8979,4.4545,-2.0668,0.4077,0.5402,0.2262,-0.446
kurtosis,5.7025,1.7948,12.1986,37.8358,7.0369,7.8565,0.3304,-0.6501,9.082
